City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,kaspiyskiy,45.3929,47.3707,18.76,52,0,2.91,RU,1693432846
277,embrun,44.5639,6.4953,11.81,80,71,2.83,FR,1693432847
278,krasnyy kut,50.95,46.9667,13.76,51,6,3.01,RU,1693432849
279,warmbad,-28.45,18.7333,20.67,51,1,2.05,NA,1693432850
280,bemidji,47.4736,-94.8803,28.27,53,0,3.6,US,1693432842
281,vilyuchinsk,52.9306,158.4028,14.15,67,5,3.92,RU,1693432853
282,itamarandiba,-17.8572,-42.8589,19.91,78,35,1.42,BR,1693432855
283,krasnoturansk,54.3186,91.5639,14.33,95,95,0.14,RU,1693432856
284,holualoa,19.6228,-155.9522,27.65,76,0,2.24,US,1693432858
285,gargalianoi,37.0667,21.6333,18.34,65,28,4.66,GR,1693432859
286,ambam,2.3833,11.2833,20.83,98,96,1.65,CM,1693432860
287,masterton,-40.9597,175.6575,9.94,68,10,1.83,NZ,1693432755
288,papao,-17.75,-149.55,27.82,79,98,4.76,PF,1693432865
289,masina,-4.3836,15.3914,26.17,62,26,1.17,CD,1693432868
290,inirida,3.8653,-67.9239,29.76,65,50,0.68,CO,1693432870
291,acarau,-2.8856,-40.12,25.78,81,0,6.78,BR,1693432871
292,livingston,55.9029,-3.5226,12.16,89,20,0.51,GB,1693432868
293,saudarkrokur,65.7461,-19.6394,10.75,80,100,0.3,IS,1693432873
294,lethbridge,49.7,-112.8186,21.45,59,100,12.35,CA,1693432662
295,port augusta,-32.5,137.7667,11.57,76,100,2.11,AU,1693432875
296,petauke,-14.2426,31.3253,17.03,50,0,4.43,ZM,1693432879
297,okakarara,-20.5833,17.4333,17.17,26,34,3.08,NA,1693432881
298,hithadhoo,-0.6,73.0833,27.58,73,99,1.81,MV,1693432882
299,rio grande,-32.035,-52.0986,17.06,86,45,4.29,BR,1693432706
300,champasak,14.75,106.0,22.7,100,100,0.1,LA,1693432885
301,tsiombe,-25.3,45.4833,18.6,77,2,5.85,MG,1693432886
302,kismayo,-0.3582,42.5454,24.52,84,50,6.54,SO,1693432889
303,ad dabbah,18.05,30.95,35.12,33,58,2.78,SD,1693432890
